card_no,title,card_type,cp,turn_of_entry,removed_after_event,text
204,Diplomatic Marriage,Diplomacy,,1,No,"Activate or deactivate a minor power if permitted by Section 22.1. In addition, Protestant may now use the card to deactivate a minor power or activate either Genoa or Venice as a Hapsburg ally."
205,Diplomatic Pressure,Diplomacy,,1,No,"Look at your opponent's Diplomatic cards. If the Papacy, choose which one the Protestant will play this turn. If the Protestant, you have the choice to either force your opponent to discard the card in his hand (and draw a new one) OR swap your one Diplomatic card with his remaining card."
206,French Invasion,Diplomacy,,1,No,"France and the Papacy are now at war. Protestants place Francis (or Henry if Francis has died), 3 French regulars, and 3 French mercenaries in a French-controlled space. Protestant draws 1 card from the Main Deck. Protestant then either places 1 French squadron in a French home port or adds 2 more French mercenaries to the same French-controlled space."
207,Henry Petitions for Divorce,Diplomacy,,1,Yes,"Papal player chooses either: a) Divorce Granted: Papacy draws 1 card from Main Deck. Protestant adds 4 Hapsburg mercenaries to a Hapsburg-controlled space in the Italian language zone. The Papacy immediately initiatesa Theological Debate in any language zone. Campeggio is automatically the Papal debater if still in the game. b) Divorce Refused: Papacy adds 3 Hapsburg regulars to any combination of Hapsburg-controlled spaces. Play of this card has no impact on the timing of the entry of the reformers, debaters and rulers in England."
208,Knights of St. John,Diplomacy,,1,No,Draw a card from the Main Deck. The CP value of that card is contributed to construction of St. Peter's.
209,Plague,Diplomacy,,1,No,"Remove 3 land or naval units from the map, no more than 1 per space. Units must be removed from spaces with more than 1 unit present. Then randomly draw one card from opponent's hand and discard it (Diplomatic cards and Home cards may not be drawn)."
210,Shipbuilding,Diplomacy,,1,No,"Papacy builds up to 2 naval squadrons (either Papal fleets or of a Papal minor power ally). Protestant may also build up to 2 naval squadrons with this card in Marseille (use French units), Naples (use Hapsburg units), and/or in any Ottoman home port (use Ottoman units)."
211,Spanish Invasion,Diplomacy,,1,No,"If prior to Schmalkaldic League, Hapsburgs and Papacy are now at war and the Protestant controls this invasion force. Otherwise the Papacy controls the invaders. The controlling power places Duke of Alva, 2 Hapsburg regulars, and 2 Hapsburg mercenaries in a Hapsburg-controlled space. The controlling power draws 1 card from the Main Deck. Place either 1 Hapsburg squadron in a Hapsburg home port or adds 2 more Hapsburg mercenaries to the same Hapsburg-controlled space."
212,Venetian Alliance,Diplomacy,,1,No,"If Venice is unaligned, activate Venice as Papal ally. If Venice is Hapsburg ally, deactivate Venice. If Venice is already a Papal ally, add 1 Venetian regular and 2 Venetian fleets (subject to counter mix) in any Papal-controlled port not under siege."
213,Austrian Invasion,Diplomacy,,Turn after SL,No,"Papacy places Ferdinand, 2 Hapsburg regulars, and 4 Hapsburg mercenaries in a Hapsburg-controlled space. Papacy draws 1 card from the Main Deck."
214,Imperial Invasion,Diplomacy,,Turn after SL,No,"Papacy places Charles, 3 Hapsburg regulars, and 5 Hapsburg mercenaries in a Hapsburg-controlled space. Papacy draws 1 card from the Main Deck."
215,Machiavelli,Diplomacy,,Turn after SL,No,"The player trailing in VP (or the player playing the card if there is a tie) chooses any invasion card currently in the Diplomatic Deck or its discard pile (but not played earlier this turn). Play that card and then reshuffle the Diplomatic Deck (including its discard pile, the Machiavelli card, and the invasion card in the reshuffle)."
216,Ottoman Invasion,Diplomacy,,Turn after SL,No,"Ottomans and the Papacy are now at war. Protestants place Suleiman, 5 Ottoman regulars, and 4 Ottoman naval squadrons in an Ottoman-controlled space. Protestant draws 1 card from the Main Deck."
217,Secret Protestant Circle,Diplomacy,,Turn after SL,No,"Roll a die. on a 1-3, flip one space in the Italian language zone to Protestant religious influence. On a 4-6, flip one space in both the Italian and Spanish language zones to Protestant religious influence."
218,Siege of Vienna,Diplomacy,,Turn after SL,No,Remove 2 Hapsburg or Hungarian land units within 2 spaces of Vienna. No Hapsburg/Hungarian units that start the turn within 2 spaces of Vienna may undertake Move actions this turn.
219,Spanish Inquisition,Diplomacy,,Turn after SL,No,"If played by Papacy, look at Protestant's Diplomatic cards. The Papacy picks one of these events; the Protestant must discard it immediately. Protestant must play the other this turn, just after drawing an extra event (to still end the turn with one card in hand). If played by Protestant, he must reveal his hand of cards from the Main Deck immediately."
